,movie_name,year,imdb_rating,meta_rating,total_votes
130,The Darkest Minds,2018,5.7,39        ,18887
131,Super Troopers 2,2018,6.1,41        ,18638
132,22 July,2018,6.7,69        ,18076
133,Free Solo,2018,8.3,83        ,17916
134,Mary Queen of Scots,2018,6.3,60        ,17834
135,Climax,2018,7.3,69        ,17625
136,If Beale Street Could Talk,2018,7.4,87        ,17589
137,Slender Man,2018,3.2,30        ,17228
138,Book Club,2018,6.1,53        ,16828
139,Dumplin',2018,6.7,53        ,16803
140,Burning,2018,7.6,90        ,16734
141,Traffik,2018,6.0,37        ,16154
142,Mid90s,2018,7.4,66        ,16111
143,Incident in a Ghostland,2018,6.4,44        ,15971
144,The Nutcracker and the Four Realms,2018,5.5,39        ,15750
145,Cam,2018,6.0,71        ,15705
146,The Outsider,2018,6.3,30        ,15480
147,Won't You Be My Neighbor?,2018,8.4,85        ,15332
148,The Happytime Murders,2018,5.3,27        ,15249
149,Early Man,2018,6.1,68        ,15078
150,Like Father,2018,6.1,52        ,14797
151,Midnight Sun,2018,6.7,38        ,14729
152,Blindspotting,2018,7.4,77        ,14678
153,Boy Erased,2018,7.0,69        ,14548
154,The Hate U Give,2018,7.2,81        ,14479
155,The Hurricane Heist,2018,5.1,35        ,14461
156,Calibre,2018,6.7,76        ,14445
157,Beirut,2018,6.4,69        ,14073
158,Everybody Knows,2018,7.0,68        ,13983
159,Dragon Ball Super: Broly,2018,8.1,59        ,13963
160,Terminal,2018,5.3,27        ,13547
161,Destination Wedding,2018,6.0,46        ,13406
162,White Boy Rick,2018,6.5,59        ,13064
163,The Night Comes for Us,2018,7.0,69        ,12964
164,The Week Of,2018,5.1,41        ,12917
165,Three Identical Strangers,2018,7.7,81        ,12852
166,"Don't Worry, He Won't Get Far on Foot",2018,6.9,67        ,12563
167,At Eternity's Gate,2018,6.9,78        ,12429
168,Bad Samaritan,2018,6.4,42        ,12301
169,They Shall Not Grow Old,2018,8.5,91        ,12163
170,Ibiza,2018,5.2,56        ,12064
171,Every Day,2018,6.4,52        ,11958
172,Under the Silver Lake,2018,6.3,61        ,11791
173,Unfriended: Dark Web,2018,5.8,53        ,11490
174,Replicas,2018,5.4,19        ,11315
175,Teen Titans Go! To the Movies,2018,6.8,69        ,11255
176,Dogman,2018,7.3,75        ,11078
177,Wildlife,2018,7.0,80        ,10993
178,Alex Strangelove,2018,6.3,62        ,10737
179,Capernaum,2018,8.4,75        ,10618
180,I Can Only Imagine,2018,7.4,30        ,10582
181,The Miseducation of Cameron Post,2018,6.6,69        ,10516
182,The Wild Pear Tree,2018,8.3,86        ,10198
183,A Futile and Stupid Gesture,2018,6.8,55        ,10169
184,Fahrenheit 11/9,2018,6.6,69        ,10121
185,Colette,2018,6.8,74        ,9861
186,Holmes & Watson,2018,3.5,24        ,9814
187,"Juliet, Naked",2018,6.6,67        ,9811
188,7 Days in Entebbe,2018,5.8,49        ,9600
189,Goosebumps 2: Haunted Halloween,2018,5.6,53        ,9560
190,The Tale,2018,7.3,90        ,9343
191,Occupation,2018,5.2,45        ,9340
192,Forever My Girl,2018,6.7,36        ,9241
193,Breaking In,2018,5.4,42        ,9115
194,Private Life,2018,7.3,83        ,9083
195,Gotti,2018,4.8,24        ,9040
196,In Darkness,2018,5.8,59        ,8998
197,The Possession of Hannah Grace,2018,5.2,37        ,8794
198,Uncle Drew,2018,5.7,57        ,8792
199,Second Act,2018,5.8,46        ,8207
200,Stan & Ollie,2018,7.5,75        ,7807
201,Wildling,2018,5.5,58        ,7763
202,Siberia,2018,4.3,34        ,7707
203,Border,2018,7.1,75        ,7702
204,Life Itself,2018,6.5,21        ,7668
205,Hell Fest,2018,5.5,26        ,7621
206,Kin,2018,5.7,35        ,7614
207,Down a Dark Hall,2018,5.2,56        ,7559
208,Sherlock Gnomes,2018,5.1,36        ,7454
209,Acts of Violence,2018,5.2,28        ,7415
210,Father of the Year,2018,5.2,32        ,7337
211,Billionaire Boys Club,2018,5.6,30        ,7266
212,A Private War,2018,6.7,75        ,7134
213,Assassination Nation,2018,5.9,56        ,7121
214,RBG,2018,7.5,71        ,7051
215,The Kindergarten Teacher,2018,6.8,75        ,7017
216,The Clovehitch Killer,2018,6.5,59        ,6879
217,Active Measures,2018,8.3,68        ,6825
218,Thunder Road,2018,7.1,82        ,6454
219,Proud Mary,2018,4.9,35        ,6436
220,Utøya: July 22,2018,7.5,75        ,6413
221,Spinning Man,2018,5.6,44        ,6398
222,Galveston,2018,6.2,57        ,6283
223,Ben Is Back,2018,6.8,67        ,6261
224,The Man Who Killed Don Quixote,2018,6.5,56        ,5998
225,On the Basis of Sex,2018,6.7,59        ,5943
226,Nappily Ever After,2018,6.4,63        ,5919
227,Happy as Lazzaro,2018,7.7,86        ,5845
